SAMPLES	M1M2M3_TP	M1M2M3_FP	M1M2_TP	M1M2_FP	M1M3_TP	M1M3_FP	M1_TP	M1_FP	TP_rem_per	FP_rem_per
M1-4.M2-5.M3-16	35	24	1	8	1	0	11	8	2.77777777778	25.0
M1-4.M2-5.M3-10	36	21	0	11	1	0	11	8	0.0	34.375
M1-4.M2-5.M3-1	30	30	6	2	1	3	11	5	16.6666666667	6.25
M1-4.M2-5.M3-5	30	30	6	2	1	1	11	7	16.6666666667	6.25
M1-4.M2-5.M3-14	35	23	1	9	1	2	11	6	2.77777777778	28.125
M1-4.M2-5.M3-12	35	22	1	10	0	1	12	7	2.77777777778	31.25
M1-4.M2-5.M3-13	35	23	1	9	1	1	11	7	2.77777777778	28.125
M1-4.M2-5.M3-6	29	29	7	3	1	1	11	7	19.4444444444	9.375
M1-4.M2-5.M3-2	31	27	5	5	0	0	12	8	13.8888888889	15.625
M1-4.M2-5.M3-3	24	28	12	4	1	0	11	8	33.3333333333	12.5
M1-4.M2-9.M3-8	36	28	0	3	1	0	11	9	0.0	9.67741935484
M1-4.M2-9.M3-9	35	30	1	1	1	2	11	7	2.77777777778	3.22580645161
M1-4.M2-9.M3-18	34	25	2	6	1	0	11	9	5.55555555556	19.3548387097
M1-4.M2-9.M3-15	34	25	2	6	1	0	11	9	5.55555555556	19.3548387097
M1-4.M2-9.M3-11	35	19	1	12	1	0	11	9	2.77777777778	38.7096774194
M1-4.M2-9.M3-7	36	20	0	11	1	1	11	8	0.0	35.4838709677
M1-4.M2-9.M3-17	35	22	1	9	1	2	11	7	2.77777777778	29.0322580645
M1-4.M2-9.M3-4	26	29	10	2	1	1	11	8	27.7777777778	6.45161290323
M1-4.M2-9.M3-16	35	24	1	7	1	0	11	9	2.77777777778	22.5806451613
M1-4.M2-9.M3-10	36	21	0	10	1	0	11	9	0.0	32.2580645161
M1-4.M2-9.M3-1	30	29	6	2	1	4	11	5	16.6666666667	6.45161290323
M1-4.M2-9.M3-5	30	30	6	1	1	1	11	8	16.6666666667	3.22580645161
M1-4.M2-9.M3-14	35	23	1	8	1	2	11	7	2.77777777778	25.8064516129
M1-4.M2-9.M3-12	34	22	2	9	1	1	11	8	5.55555555556	29.0322580645
M1-4.M2-9.M3-13	35	23	1	8	1	1	11	8	2.77777777778	25.8064516129
M1-4.M2-9.M3-6	29	29	7	2	1	1	11	8	19.4444444444	6.45161290323
M1-4.M2-9.M3-2	30	27	6	4	1	0	11	9	16.6666666667	12.9032258065
M1-4.M2-9.M3-3	24	27	12	4	1	1	11	8	33.3333333333	12.9032258065
M1-4.M2-6.M3-8	35	27	0	2	2	1	11	10	0.0	6.89655172414
M1-4.M2-6.M3-9	35	29	0	0	1	3	12	8	0.0	0.0
M1-4.M2-6.M3-18	33	24	2	5	2	1	11	10	5.71428571429	17.2413793103
M1-4.M2-6.M3-15	33	23	2	6	2	2	11	9	5.71428571429	20.6896551724
M1-4.M2-6.M3-11	35	18	0	11	1	1	12	10	0.0	37.9310344828
M1-4.M2-6.M3-7	35	20	0	9	2	1	11	10	0.0	31.0344827586
M1-4.M2-6.M3-17	34	21	1	8	2	3	11	8	2.85714285714	27.5862068966
M1-4.M2-6.M3-4	27	28	8	1	0	2	13	9	22.8571428571	3.44827586207
M1-4.M2-6.M3-16	34	24	1	5	2	0	11	11	2.85714285714	17.2413793103
M1-4.M2-6.M3-10	35	19	0	10	2	2	11	9	0.0	34.4827586207
M1-4.M2-6.M3-1	30	28	5	1	1	5	12	6	14.2857142857	3.44827586207
M1-4.M2-6.M3-5	30	29	5	0	1	2	12	9	14.2857142857	0.0
M1-4.M2-6.M3-14	34	22	1	7	2	3	11	8	2.85714285714	24.1379310345
M1-4.M2-6.M3-12	34	22	1	7	1	1	12	10	2.85714285714	24.1379310345
M1-4.M2-6.M3-13	34	22	1	7	2	2	11	9	2.85714285714	24.1379310345
M1-4.M2-6.M3-6	29	28	6	1	1	2	12	9	17.1428571429	3.44827586207
M1-4.M2-6.M3-2	31	26	4	3	0	1	13	10	11.4285714286	10.3448275862
M1-4.M2-6.M3-3	24	26	11	3	1	2	12	9	31.4285714286	10.3448275862
M1-4.M2-10.M3-8	36	28	0	2	1	0	11	10	0.0	6.66666666667
M1-4.M2-10.M3-9	35	29	1	1	1	3	11	7	2.77777777778	3.33333333333
M1-4.M2-10.M3-18	35	25	1	5	0	0	12	10	2.77777777778	16.6666666667
M1-4.M2-10.M3-15	35	24	1	6	0	1	12	9	2.77777777778	20.0
M1-4.M2-10.M3-11	35	19	1	11	1	0	11	10	2.77777777778	36.6666666667
M1-4.M2-10.M3-7	36	20	0	10	1	1	11	9	0.0	33.3333333333
M1-4.M2-10.M3-17	36	21	0	9	0	3	12	7	0.0	30.0
M1-4.M2-10.M3-4	26	28	10	2	1	2	11	8	27.7777777778	6.66666666667
M1-4.M2-10.M3-16	35	24	1	6	1	0	11	10	2.77777777778	20.0
M1-4.M2-10.M3-10	36	20	0	10	1	1	11	9	0.0	33.3333333333
M1-4.M2-10.M3-1	30	29	6	1	1	4	11	6	16.6666666667	3.33333333333
M1-4.M2-10.M3-5	30	29	6	1	1	2	11	8	16.6666666667	3.33333333333
M1-4.M2-10.M3-14	36	24	0	6	0	1	12	9	0.0	20.0
M1-4.M2-10.M3-12	34	22	2	8	1	1	11	9	5.55555555556	26.6666666667
M1-4.M2-10.M3-13	36	22	0	8	0	2	12	8	0.0	26.6666666667
M1-4.M2-10.M3-6	29	28	7	2	1	2	11	8	19.4444444444	6.66666666667
M1-4.M2-10.M3-2	30	27	6	3	1	0	11	10	16.6666666667	10.0
M1-4.M2-10.M3-3	24	27	12	3	1	1	11	9	33.3333333333	10.0
M1-4.M2-4.M3-8	28	27	0	2	9	1	11	10	0.0	6.89655172414
M1-4.M2-4.M3-9	28	29	0	0	8	3	12	8	0.0	0.0
M1-4.M2-4.M3-18	26	24	2	5	9	1	11	10	7.14285714286	17.2413793103
M1-4.M2-4.M3-15	26	23	2	6	9	2	11	9	7.14285714286	20.6896551724
M1-4.M2-4.M3-11	28	18	0	11	8	1	12	10	0.0	37.9310344828
M1-4.M2-4.M3-7	28	20	0	9	9	1	11	10	0.0	31.0344827586
M1-4.M2-4.M3-17	27	21	1	8	9	3	11	8	3.57142857143	27.5862068966
M1-4.M2-4.M3-4	22	28	6	1	5	2	15	9	21.4285714286	3.44827586207
M1-4.M2-4.M3-16	27	24	1	5	9	0	11	11	3.57142857143	17.2413793103
M1-4.M2-4.M3-10	28	19	0	10	9	2	11	9	0.0	34.4827586207
M1-4.M2-4.M3-1	23	28	5	1	8	5	12	6	17.8571428571	3.44827586207
M1-4.M2-4.M3-5	23	29	5	0	8	2	12	9	17.8571428571	0.0
M1-4.M2-4.M3-14	27	22	1	7	9	3	11	8	3.57142857143	24.1379310345
M1-4.M2-4.M3-12	27	22	1	7	8	1	12	10	3.57142857143	24.1379310345
M1-4.M2-4.M3-13	27	22	1	7	9	2	11	9	3.57142857143	24.1379310345
M1-4.M2-4.M3-6	21	28	7	1	9	2	11	9	25.0	3.44827586207
M1-4.M2-4.M3-2	25	26	3	3	6	1	14	10	10.7142857143	10.3448275862
M1-4.M2-4.M3-3	19	26	9	3	6	2	14	9	32.1428571429	10.3448275862
M1-4.M2-3.M3-8	17	28	0	2	20	0	11	10	0.0	6.66666666667
M1-4.M2-3.M3-9	17	30	0	0	19	2	12	8	0.0	0.0
M1-4.M2-3.M3-18	15	25	2	5	20	0	11	10	11.7647058824	16.6666666667
M1-4.M2-3.M3-15	15	24	2	6	20	1	11	9	11.7647058824	20.0
M1-4.M2-3.M3-11	17	19	0	11	19	0	12	10	0.0	36.6666666667
M1-4.M2-3.M3-7	17	20	0	10	20	1	11	9	0.0	33.3333333333
