SAMPLES	M1M2M3_TP	M1M2M3_FP	M1M2_TP	M1M2_FP	M1M3_TP	M1M3_FP	M1_TP	M1_FP	TP_rem_per	FP_rem_per
M1-7.M2-5.M3-4	37	23	3	13	0	3	92	7	7.5	36.1111111111
M1-7.M2-5.M3-8	40	30	0	6	0	0	92	10	0.0	16.6666666667
M1-7.M2-5.M3-9	39	34	1	2	0	0	92	10	2.5	5.55555555556
M1-7.M2-5.M3-1	38	25	2	11	0	4	92	6	5.0	30.5555555556
M1-7.M2-5.M3-6	38	22	2	14	0	4	92	6	5.0	38.8888888889
M1-7.M2-5.M3-14	40	33	0	3	8	4	84	6	0.0	8.33333333333
M1-7.M2-5.M3-16	39	34	1	2	8	4	84	6	2.5	5.55555555556
M1-7.M2-5.M3-2	39	31	1	5	0	1	92	9	2.5	13.8888888889
M1-7.M2-5.M3-18	39	34	1	2	9	3	83	7	2.5	5.55555555556
M1-7.M2-5.M3-3	38	31	2	5	0	1	92	9	5.0	13.8888888889
M1-7.M2-5.M3-7	39	25	1	11	0	5	92	5	2.5	30.5555555556
M1-7.M2-5.M3-10	40	35	0	1	0	3	92	7	0.0	2.77777777778
M1-7.M2-5.M3-5	37	33	3	3	0	1	92	9	7.5	8.33333333333
M1-2.M2-8.M3-17	37	26	2	0	0	5	100	7	5.12820512821	0.0
M1-2.M2-8.M3-15	37	26	2	0	0	7	100	5	5.12820512821	0.0
M1-2.M2-8.M3-11	38	23	1	3	0	2	100	10	2.5641025641	11.5384615385
M1-2.M2-8.M3-12	38	26	1	0	0	7	100	5	2.5641025641	0.0
M1-2.M2-8.M3-13	37	26	2	0	0	7	100	5	5.12820512821	0.0
M1-2.M2-8.M3-4	38	22	1	4	0	0	100	12	2.5641025641	15.3846153846
M1-2.M2-8.M3-8	39	24	0	2	0	3	100	9	0.0	7.69230769231
M1-2.M2-8.M3-9	39	26	0	0	0	5	100	7	0.0	0.0
M1-2.M2-8.M3-1	39	23	0	3	0	2	100	10	0.0	11.5384615385
M1-2.M2-8.M3-6	38	21	1	5	0	0	100	12	2.5641025641	19.2307692308
M1-2.M2-8.M3-14	37	26	2	0	0	5	100	7	5.12820512821	0.0
M1-2.M2-8.M3-16	36	26	3	0	0	5	100	7	7.69230769231	0.0
M1-2.M2-8.M3-2	38	24	1	2	0	6	100	6	2.5641025641	7.69230769231
M1-2.M2-8.M3-18	36	26	3	0	0	7	100	5	7.69230769231	0.0
M1-2.M2-8.M3-3	39	24	0	2	0	4	100	8	0.0	7.69230769231
M1-2.M2-8.M3-7	38	23	1	3	0	1	100	11	2.5641025641	11.5384615385
